Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Eye Candy","Entrance Boulder > Bob Johnson Crag > Stone Tower Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106967427/eye-candy,3.0,-1,Boulder,V6,1,12,42.49104,-70.98726
"The Anvil","Swamp 2 Boulders > The Great Swamp Boulders > Mount Jacob Boulders > Tompson St. Reservation > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/107883077/the-anvil,3.0,-1,Boulder,V6,1,14,42.62688,-70.71712
Apollo,"Slanted Boulder > Wright's Park > Middlesex Fells > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/122653805/apollo,3.7,-1,Boulder,V6,1,,42.44525,-71.09981
Clinician,"Ship's Prow Boulder > Rattlesnake Rocks > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/121451157/clinician,3.0,-1,Boulder,V6,1,11,42.23185,-71.03927
"Dream Rider","Sleeping Wall > Goat Rock > Western MA > Massachusetts",https://www.mountainproject.com/route/123170369/dream-rider,3.0,-1,Boulder,V6,1,20,42.06072,-72.43234
V6+,"Forest Lane Boulder > West Side > Dykes Pond (Gloucester) > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/120598538/v6,3.0,-1,Boulder,V6,1,10,42.59473,-70.75062
"French Wade","Goose Cove Reservoir Boulders  (Western Side) > Goose Cove Western Side > Dogtown > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/122922808/french-wade,3.0,-1,Boulder,V6,1,15,42.63094,-70.66814
"Monkey Trick","Boulder Field Trail Outcrop > Boulder Field Trail Boulders > Ravenswood Park > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/120581804/monkey-trick,3.0,-1,Boulder,V6,1,20,42.59639,-70.68966
Petrichor,"3. Center-Right > Roadside Crag > Western MA > Massachusetts",https://www.mountainproject.com/route/122976261/petrichor,3.0,-1,Boulder,V6,1,,42.568,-72.47491
"Two in the Pink","Hector's Big Brother > Hemlock Knoll > Rocky Woods > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/116230889/two-in-the-pink,3.0,-1,Boulder,V6,1,20,42.21474,-71.2791
Bloodhound,"Bob Johnson Boulder  2 > Bob Johnson Crag > Stone Tower Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106952116/bloodhound,2.8,-1,Boulder,V6,1,18,42.48619,-70.98255
"2. Dark Energy","Velocity Boulder > Dogtown > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/116187295/2-dark-energy,3.0,-1,Boulder,V6,1,13,42.62731,-70.67049
Dugout,"04 - Dugout > Painted Wall/First Overlook Areas > Jerusalem Road Boulders > Wendell State Forest > Western MA > Massachusetts",https://www.mountainproject.com/route/123123678/dugout,3.0,-1,Boulder,V6,1,,42.56257,-72.44567
Autopsy,"Monster Boulder > The Garden > North Side > Dykes Pond (Gloucester) > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/111887935/autopsy,2.4,-1,Boulder,V6,1,12,42.6129,-70.72168
"4. Jersey Barrier","Swamp Boulder > Wasteland Boulders > Greater Lynn Woods Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/116208852/4-jersey-barrier,3.0,-1,Boulder,V6,1,15,42.49123,-70.99199
